7021-85628-0026  NO LITTLE FUN SHE SAID
1320-122617-0033  IF HOWEVER THEY TAKE YOUR SCALP AS I TRUST AND BELIEVE THEY WILL NOT DEPEND ON IT UNCAS AND I WILL NOT FORGET THE DEED BUT REVENGE IT AS BECOMES TRUE WARRIORS AND TRUSTY FRIENDS
1320-122612-0002  AFTER PROCEEDING A FEW MILES THE PROGRESS OF HAWKEYE WHO LED THE ADVANCE BECAME MORE DELIBERATE AND WATCHFUL
6930-75918-0016  YES I NEED REPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN
672-122797-0072  AND THE GARDENER'S BOY CHALKED THE TREE INTO SMALL PIECES THERE WAS A WHOLE HEAP LYING THERE
237-134493-0001  HIS WIFE NOW LIES BESIDE HIM AND THE LIGHT SHAFT THAT MARKS THEIR GRAVES GLEAMS ACROSS THE WHEAT FIELDS
3570-5696-0009  IN STRICT ACCURACY NOTHING SHOULD BE INCLUDED UNDER THE HEAD OF CONSPICUOUS WASTE AT SUCH EXPENDITURE AS IS INCURRED ON THE GROUND OF AN INVIDIOUS PECUNIARY COMPARISON
7127-75947-0015  CANNOT BE A DOUBT HE RECEIVED YOU KINDLY FOR IN FACT YOU RETURN WITHOUT HIS PERMISSION
1995-1837-0007  THEN OF A SUDDEN AT MIDDAY THE SUN SHOT OUT HOT AND STILL NO BREATH OF AIR STIRRED THE SKY WAS LIKE BLUE STEEL THE EARTH STEAMED
2830-3980-0073  THIS ATTITUDE SPRINGS FROM A FALSE CONCEPTION OF SIN THE CONCEPTION THAT SIN IS A SMALL MATTER EASILY TAKEN CARE OF BY GOOD WORKS THAT WE MUST PRESENT OURSELVES INTO GOD WITH A GOOD CONSCIENCE THAT WE MUST FEEL NO SIN BEFORE WE MAY FEEL THAT CHRIST WAS GIVEN FOR OUR SINS
8224-274381-0006  THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM
7021-85628-0009  THE FARTHER END OF THE LARGEST HALL A TABLE WAS SET WITH GOLDEN CUPS AND GOLDEN PLATES IN LONG ROBES
6930-75918-0000  CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS
61-70970-0007  HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM
7176-92135-0002  AND EVEN THE UNSUCCESSFUL DRAMATIST HAS HIS MOMENTS
4446-2275-0043  THEY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES
4077-13754-0001  BUT A WORD FURTHER CONCERNING THE EXPEDITION IN GENERAL
4446-2273-0021  SHE WANTED FROM US WAS NEITHER A FLOWERS NOR OUR FRANKS BUT JUST OUR YOUTH
4970-29095-0035  AND IF I HAD A FORTUNE WHAT DO YOU WANT ME TO LEAD A USELESS LIFE
237-126133-0006  AT THIS THE BUNDLE OPENED SUDDENLY OUT POP PHRONSIE
2300-131720-0031  ASSOCIATED WITH THIS SIMPLE FORM OF APPARATUS WERE VARIOUS INGENIOUS DETAILS AND REFINEMENTS TO SECURE REGULARITY OF OPERATION FREEDOM FROM INACCURACY AND IMMUNITY FROM SUCH TAMPERING AS WOULD PERMIT THEFT OF CURRENT OR DAMAGE
4992-41797-0010  BOY'S IRRITABLE COLD INDIFFERENT HE HAD GROWN RAPIDLY MORE SO AS YEARS WENT ON
8455-210777-0001  THE EVER CROSSWELLER NOT BEEN GOOD LOOKING HAD JACK BEEN STILL AT COLLEGE HAD SIR CARRINGTON OVAL REMAINED IN ENGLAND HAD MISTER BONNET AND THE BAR KEEPER NOT SUCCEEDED IN STOPPING MY CARRIAGE ON THE HILL SHOULD I HAVE SUCCEEDED IN A RAGING FOR THE FINAL DEPARTURE OF MY OLD FRIEND
8455-210777-0055  SIR I HAVE IT IN COMMAND TO INFORM YOUR EXCELLENCY THAT YOU HAVE BEEN APPOINTED GOVERNOR OF THE CROWN COLONY WHICH IS CALLED BRITAIN ULLER
7176-88083-0026  THE DRAG UPON HIS BEAK AND THE LIGHT CHECK UPON HIS WINGS WERE INEXPLICABLE TO HIM AND APPALLING
6930-76324-0000  MAKES ANOTHER DISCOVERY
2961-961-0015  A LAWS EXIST AMONG US WHICH ARE THE COUNTERPART OF YOURS AS THEY WERE IN THE OLDEN TIME
61-70970-0023  BE NOT SO FOOLISH FRIEND SAID FITZOOTH CROSSLY
61-70970-0015  WELL CRIED HE SOFTLY AND STUTELEY WHO HAD CHOSEN HIS COUCH ACROSS THE DOOR OF HIS YOUNG MASTER'S CHAMBER SPRANG UP AT ONCE AN ANSWER
5105-28241-0009  DEMONSTRATION DO YOU OFFER ASKED SERVADAC EAGERLY THAT IT WILL NOT HAPPEN
7176-92135-0006  I'VE GOT A LITTLE IDEA FOR A PLAY ABOUT A MAN AND A WOMAN AND ANOTHER WOMAN AND BUT PERHAPS I BETTER KEEP THE PLOT A SECRET FOR THE MOMENT
4446-2275-0004  ALEXANDER DID NOT SIT DOWN
2830-3980-0041  GRACE INVOLVES THE REMISSION OF SINS PEACE AND A HAPPY CONSCIENCE
260-123286-0029  THOSE HUGE CREATURES ATTACK EACH OTHER WITH THE GREATEST ANIMOSITY
4507-16021-0008  THAT OF COURSE IT DOES
7176-92135-0020  DOUBLE NINE TWO THREE ELINORE THE DOUBLE NOT YES HOLLO IS THAT YOU HORATIO HAN WAS BEGGING
8463-294828-0027  I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRY PLANTS TO PARIS FRANCE
4446-2275-0031  I UNDERSTAND BARTLEY I WAS WRONG
8463-294828-0001  THREE SECONDS BEFORE THEY ARRIVAL OF J B HOBSON'S LETTER I KNOW MORE DREAMED OF CHASING THE UNICORN THAN OF TRYING FOR THE NORTH WEST PASSAGE
1995-1837-0000  HE KNEW THE SILVER FLEECE HE IS AND ZARAS MUST BE RUINED
8555-292519-0010  OLD DANCES ARE SIMPLIFIED AT THEIR YEARNING BLEACHED BY TIME
8455-210777-0047  YOU PROPOSE TO KIDNAP ME I SAID
8455-210777-0016  THIS I FELT WAS PAID TO ME AS BEING PRESIDENT OF THE REPUBLIC AND I ENDEAVOURED TO BEHAVE MYSELF WITH SUCH MINGLED HUMILITY AND DIGNITY AS MIGHT BE FIT THE OCCASION BUT I COULD NOT BUT FEEL THAT SOMETHING WAS WANTING TO THE SIMPLICITY OF MY ORDINARY LIFE
1284-1180-0002  THE OLD MAN WORE BOOTS WITH TURN OVER TOPS AND HIS BLUE COAT HAD WIDE CUFFS OF GOLD BRAID
61-70968-0016  AND THEN THEY BECAME VEXED AND WOULD HAVE SNATCHED YOUR PURSE FROM US
3729-6852-0022  ADDRESS HIM IN ITALIAN AND HE ANSWERS VERY WITTILY BUT HIS WAY OF SPEAKING MAKES ME SMILE AND I TELL HIM WHY
2094-142345-0039  I'VE STRONG ASSURANCE THAT NO EVIL WILL HAVE IT YOU AND MY UNCLE AND THE CHILDREN FROM ANYTHING I HAVE DONE
1320-122617-0027  AS SOON AS THESE DISPOSITIONS WERE MADE THE SCOUT TURNED TO DAVID AND GAVE HIM HIS PARTING INSTRUCTIONS
5683-32879-0009  ILL AND TROUBLE DEAR TROUBLED IN MIND AND MISERABLY NERVOUS
5639-40744-0020  HUMANE AND WHITE MINDED FATHER COMFORT HIS UNHAPPY DAUGHTER AND HER MOTHER EMBRACING HER AGAIN DID ALL SHE COULD TO SOOTHE THE FEELINGS
1188-133604-0038  BUT NOW HERE IS A SUBJECT OF WHICH YOU WILL WONDER AT FIRST WHY TURNER DREW IT AT ALL
4446-2273-0016  STILL LIKE FLAX AND ARE BLUE EYES ARE JUST LIKE A BABY'S AND SHE HAS THE SAME THREE FRECKLES ON HER LITTLE NOSE AND TALKS ABOUT GOING BACK TO HER BAND OF AIR
7729-102255-0040  AS INCIDENT CONTRASTING THE CREATIVE AND THE DESTRUCTIVE SPIRIT OF THE FACTIONS THE IMMIGRANT AID SOCIETY OF MASSACHUSETTS BINDS ITS MOST HONOURABLE AND TRIUMPHANT VINDICATION
1221-135766-0008  MINDFUL HOWEVER OF HER OWN ERRORS AND MISFORTUNES SHE EARLY SOUGHT TO IMPOSE A TENDER BUT STRICT CONTROL OVER THE INFANT IMMORTALITY THAT WAS COMMITTED TO HER CHARGE
672-122797-0011  AND THEN WHAT HAPPENS THEN
3729-6852-0040  THE FIRST DAY SIR I THINK THAT WHAT YOU HAVE DONE GIVES GREAT HOPES OF YOU AND WITHOUT ANY DOUBT YOU WILL MAKE RAPID PROGRESS
1320-122617-0009  I GREATLY MOURNED THAT ONE SO WELL DISPOSED SHOULD DIE IN HIS IGNORANCE AND I HAVE SOUGHT A GOODLY HYMN CAN YOU LEAD ME TO HIM
4970-29093-0020  I'SE A MISSOURI SOMEWHERE ON THE FRONTIER I THINK WE'LL GET A MAP
8224-274384-0012  BUNNY STILL RETAINED RANCOUR AGAINST HIM IN HIS PRESENT CONDITION THEY PASSED IN SILENCE WHILE HIS WILL WISHERS MORE GENEROUS THAN PRUDENT ACCOMPANIED HIS MARCH WITH TEARS WITHOUT CLAMATIONS AND WITH PRAYERS FOR HIS SAFETY
2961-960-0004  THERE IS NO DANGER OF THE MODERN COMMENTATORS OF THE TENEAS FALLING INTO THE ABSURDITIES OF THE NEOPLATINISTS
1995-1836-0002  HE NOT BE AS OTHER MEN
61-70968-0027  ROBIN IN THE LITTLE TUMBLER BETWEEN THEM TRIED TO FORCE THE SQUIRE TO STAND BACK AND VERY VALIANTLY DID THESE TWO COMPORT THEMSELVES
1320-122617-0029  IF YOU ARE NOT THEN KNOCKED ON THE HEAD YOUR BEING A NON COMPOSSABLE PROTECT YOU AND YOU'LL THEN HAVE A GOOD REASON TO EXPECT TO DIE IN YOUR BED
2094-142345-0060  OH I'VE NO DOUBT IT'S IN CAPITAL ORDER
4446-2273-0022  BOTH REMEMBERING WHAT THE WOMAN HAD SAID WHEN SHE TOOK THE MONEY GOD GIVE YOU A HAPPY LOVE
5142-36586-0000  IT IS MANIFEST THAT MAN IS NOW SUBJECT TO MUCH VERY ABILITY
4970-29095-0037  THAT WISE AND PLACID WOMAN UNDERSTOOD THE SWEET REBEL A GREAT DEAL BETTER THAN RUTH UNDERSTOOD HERSELF
2830-3979-0012  WORD OF OUR GOD SHALL STAND FOR EVER
7176-92135-0038  A SAGE MEAL IS POPULAR BECAUSE IT PROVED TO THE AUDIENCE THAT THE ACCURS EVEN WHEN CALLED CHARLES HALTREE OR OWENAIRES ARE REAL PEOPLE JUST LIKE YOU AND ME
5683-32866-0004  THIS TIME LORD CHELFORD AND WYLDER RETURNED AND DISGUSTED RATHER WITH MYSELF I RUMINATED ON MY WANT OF GENERALSHIP
3575-170457-0015  BUT DO NOT SUPPOSE THAT I DISPARAGE THE GIFT WHICH YOU POSSESS NOR THAT I WOULD DISCOURAGE YOU FROM EXERCISING IT I ONLY EXHORT YOU SO TO THINK OF IT AND SO TO USE IT AS TO RENDER IT CONDUCEIVE TO YOUR OWN PERMANENT GOOD
237-134500-0028  SURE ALEXANDER HELPS YOU WILL STAY ON HERE SHE MURMURED
2961-960-0001  THE INFLUENCE WHICH THE TIMAS HAS EXERCISED UPON POSTERITY IS DUE PARTLY TO A MISUNDERSTANDING
7176-92135-0023  YOU GAVE ME DOUBLE FIVE I WANT DOUBLE NINE HELLO IS THAT YOU HORATIO HAMLET SPEAKING
1580-141084-0029  HIS TROUBLED BLUE EYES GLANCED AT EACH OF US AND FINALLY RESTED WITH AN EXPRESSION OF BLANK DISMAY UPON BANISTER IN THE FARTHER CORNER
1320-122617-0022  THE DELAWARES ARE CHILDREN OF THE TORTOISE AND THEY OUTSTRIP THE DEER
1580-141083-0014  THE BEST OF MY BELIEF THEY WERE ROLLED UP
1089-134691-0001  FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER
4992-41797-0003  MISTER POPHAM LAID DOWN HIS BRUSH
4077-13751-0001  ITS ORIGIN WAS SMALL A GERM AND INSIGNIFICANT SEED HARDLY TO BE THOUGHT OF AS LIKELY TO AROUSE OPPOSITION
3575-170457-0034  IN THIS MONOTONOUS LIFE OF MIND THAT WAS A PLEASANT EVENT
8463-294828-0000  CHAPTER THREE AS MASTER WISHES
7021-79740-0000  JUDGE PERSONS THESE INDIRECT MODES OF TRAINING CHILDREN INHABITS OF SUBORDINATION TO THEIR WILL OR RATHER OF YIELDING TO THEIR INFLUENCE ARE SPECIALLY USEFUL
61-70968-0020  SHE ON YOU CITIZENS CRIED HE I BLUSH FOR MY FELLOWS OF NOTTINGHAM
3570-5694-0008  SOMETIM OF LUXURIES IN THE TRUE SENSE IS A CONSUMPTION DIRECTED TO THE COMFORT OF THE CONSUMER HIMSELF AND IS THEREFORE A MARK OF THE MONSTER
5105-28241-0005  FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA NO LAND APPEARED TO THE SOUTH
1089-134686-0010  NOW EDIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
4446-2273-0002  A GREAT DEAL ABOUT MANY OF THEM I FANCY
1320-122617-0008  THE YOUNG MAN IS IN BONDAGE AND MUCH I FEAR HIS DEATH IS DECREED
1188-133604-0035  THUS IN CHAUCER'S DREAM
6930-76324-0001  THERE WERE CERTAINLY NO NEAR THE SOLUTION OF THEIR PROBLEM
8463-294828-0024  WE DON'T KNOW WHERE IT WILL TAKE US
8455-210777-0035  THAT IS ALL QUITE TRUE MISTER NEVERBEND SAID SIR FERDINANDO BROWN
1580-141084-0004  OF COURSE HE DID NOT REALIZE THAT IT WAS I WHO WAS KNOCKING BUT NONE THE LESS HIS CONDUCT WAS VERY UNCOURTEOUS AND INDEED UNDER THE CIRCUMSTANCES RATHER SUSPICIOUS
8230-279154-0005  ALL THAT I AM DOING IS TO USE ITS LOGICAL TENABILITY AS A HELP IN THE ANALYSIS OF WHAT OCCURS WHEN WE REMEMBER
1580-141084-0000  THE INDIAN WHOSE DARK SILHOUETTE APPEARED SUDDENLY UPON HIS BLIND
7729-102255-0039  INMATES BEING REMOVED AT THE APPOINTED HOUR IF YOU CANNON BALLS WERE FIRED THROUGH THE STONE WALLS
2830-3980-0037  SO MUCH FOR THE TITLE OF THE EPISTLE NOW FOLLOWS THE GREETING OF THE APOSTLE VERSE THREE
7729-102255-0009  ALL DESCENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TOWNS LIKE LEAVENWORTH BRANDED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH
6829-68771-0019  IT WAS DRESSED IN THE REGULATION COSTUME OF THE MAIDS AT ELMHURST AT PLAYING BLACK GOWN WITH A WHITE APRON AND CAP
672-122797-0025  THE TREE ONLY CAME TO HIMSELF WHEN HE WAS UNLOADED IN A COURTYARD WITH THE OTHER TREES AND HEARD A MAN SAY THAT ONE SPLENDID WE DON'T WANT THE OTHERS
1580-141083-0002  A FRIEND'S TEMPER HAD NOT IMPROVED SINCE HE HAD BEEN DEPRIVED OF THE CONGENIAL SURROUNDINGS OF BAKER STREET
5683-32865-0017  ALL THE TIME HE WAS TALKING TO ME HIS ANGRY LITTLE EYES WERE FOLLOWING
908-157963-0005  LIKE THE DOVE'S BOYS LIKE TRANSIENT DAY LIKE MUSIC IN THE AIR AH
5105-28233-0006  NO CATHEDRAL NOT EVEN BURGOS ITSELF COULD BUY WITH A CHURCH AT MONT MARCHER
1188-133604-0029  ONLY THERE ARE TWO SORTS OF CLOUD IN FAR
3570-5695-0001  DEPENDENT WHO WAS FIRST DELEGATED FOR THESE DUTIES WAS THE WIFE OR THE CHIEF WIFE AND AS WOULD BE EXPECTED IN A LATELY DEVELOPMENT OF THE INSTITUTION WHEN THE NUMBER OF PERSONS BY WHOM THESE DUTIES ARE CUSTOMARY PERFORMED GRADUALLY NARROWS THE WIFE REMAINS A LOST
2094-142345-0019  COMB THE WOOL FOR THE WIDOWS INDEED
1089-134686-0012  HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS WAS STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
5105-28241-0000  SEA GOING QUALITIES WERE EXCELLENT AND WOULD HAVE AMPLY SUFFICED FOR A CIRCUMVAGATION OF THE GLOBE
7176-92135-0011  NOW THE OBJECT OF THIS SOLICY IS PLAIN
5683-32879-0000  WAS NOT VERY MUCH PAST ELEVEN THAT MORNING WHEN THE PONY CARRIAGE FROM BRANDON DREW UP BEFORE THE LITTLE GARDEN WICKET OF REDAMAN'S FARM
908-157963-0023  THE HELPLESS WORM AROSE AND SAT UPON THE LILY'S LEAF IN THE BRIGHT CLOUD SAILED ON TO FIND HIS PARTNER IN THE VAGULE
6829-68771-0013  ATTENDANCE WAS UNEXPECTEDLY LARGE AND THE GIRLS WERE DELIGHTED FOR SEEING GREAT SUCCESS FOR THEIR FIGHT
2094-142345-0047  POYSER IS NOT AT HOME IS HE
5683-32879-0021 S IN HER STRANGE WAY WAS MOVED
7021-85628-0018  IT IS MADE OF MOTHER'S BEST YARN AND SHE KNITTED HERSELF AND EVERYBODY WANTS TO GET IT AWAY FROM ME
6930-76324-0023  AM MY POCKET MONEY IS GETTING LOW AGAIN AND YOU HAVEN'T ANY LEFT AS USUAL
7021-79759-0002  THEY'RE CHIEF REFORMED FROM COMBINATIONS OF THE IMPRESSIONS MADE IN CHILDHOOD
8555-292519-0009  O YE SAILS THAT SEEM TO WONDER AND DREAM FILLED MEADOWS SAY IS THE SHORE WHERE I STAND THE ONLY FIELD OF STRUGGLE OR ARE YE HID AND BATTERED OUT THERE BY WAYS AND WHEN GUST AS YE TAKE OVER A CLASHING SEA OF WATERY ECHOES
1089-134691-0020  HELLO STUFFANOS HERE COMES THE DAEDALUS
7176-92135-0042  AND NOVELS THE HERO HAS OFTEN PUSHED HIS MEALS AWAY UNTASTED BUT KNOWESTED HERO WOULD DO ANYTHING SO UNNATURAL AS THIS
2094-142345-0011  DO NOT SUPPOSE HOWEVER THAT MISSUS POYSER WAS ELDERLY OR SHREWISH IN HER APPEARANCE SHE WAS A GOOD LOOKING WOMAN NOT MORE THAN EIGHT AND THIRTY A FAIR COMPLEXION AND SANDY HAIR WHILE SHAPEN LIGHTFOOTED
8455-210777-0059  BUT IT IS SURMISED THAT YOU WILL FIND DIFFICULTIES IN A WAY OF YOUR ENTERING AT ONCE UPON YOUR GOVERNOR
2300-131720-0011  WHAT IT CAME TO BE A QUESTION OF LIGHTING A SCATTERED SUBURB A GROUP OF DWELLINGS ON THE OUTSKIRTS A REMOTE COUNTRY RESIDENCE OR A FARMHOUSE THE ALTERNATING COURAGE IN ALL ELEMENTS SAVE ITS DANGER WAS AND IS IDEAL
7176-92135-0015  AND SO ON TILL YOU GET TO THE END WHEN OBEY MIGHT SAY AH YES OR SOMETHING NON COMMITTAL OF THAT SORT
672-122797-0054  I KNOW NO SUCH PLACE SAID THE TREE
2830-3980-0047  TO DO SO IS TO LOSE GOD ALTOGETHER BECAUSE GOD BECOMES INTOLERABLE AND WE SEEK TO MEASURE HIM TO COMPREHEND HIS INFINITE MAJESTY
8463-294828-0006  FROM RUBBING SHELTERS WITH SCIENTISTS AND OUR LITTLE UNIVERSE BY THE BATANICAL GARDENS THE BOY HAD COME TO KNOW A THING OR TWO
6829-68769-0025  ROD'S WHAT DO ANYTHING BUT LEAD HER AROUND AND WAIT UPON HER AND THE PLACE WENT TO RACK AND RUIN
8463-294825-0012  THE NAUTILUS NEARLY PERISHES IN THE ANTARCTIC AND NEMO SANKS INTO ECHOING DEPRESSION
