121-121726-0005 
121-127105-0019 N HOWEVER EXPRESSED A NEED FOR A LITTLE MORE LIGHT
121-127105-0021  YOU DULL DOUGLAS
3570-5695-0001  INDEPENDENT TO US HAS DELEGATED FOR THESE DUTIES WAS THE WIFE OR THE CHIEF WIFE AND AS WOULD BE EXPECTED IN A LATER DEVELOPMENT OF THE INSTITUTION WHEN THE NUMBER OF PEASANTS BY WHOM THESE DUTIES ARE CUSTOMARY PERFORMED GRADUALLY NARROWS THE WIFE REMAINS THE LAST
3570-5696-0002  ARE THE SAME STANDS PERMITTING THAT INSTINCT DISPOSES MEN TO LOOK WITH FAVOR UPON PRACTIVE EFFICIENCY AND ON WHATEVER IS OF HUMAN USE
3570-5696-0006  AS EUSTON SPEECH OF EVERY DAY LIFE THE WORD CARRIES AN UNDERTONE OF DEPRECATION
3570-5696-0008  BUT IT IS OTHER GROUNDS WITH NOTING THAT THE TIME WASTE IN THE LANGUAGE OF EVERY DAY LIFE IMPLIES DEPRECATION OF WHAT IS CHARACTERIZED THUS WASTEFUL
3570-5696-0009  INSPECT ACCURACY NOTHING SHOULD BE INCLUDED UNDER THE HEAD OF CONSPICUOUS WASTE AT SUCH EXPENDITURE AS IS INCURRED ON THE GROUND OF AN AMIDIOUS PECUNIARY COMPARISON
3575-170457-0015  I DO NOT SUPPOSE THAT I DISPARAGE THE GIFT WHICH YOU POSSESS NOR THAT I WOULD DISCOURAGE YOU FROM EXERCISING IT I ONLY EXHORT YOU SO TO THINK OF IT AND SO TO USE IT AS TO RENDER IT CONDUCIVE TO YOUR OWN PERMANENT GOOD
3575-170457-0023  I CAREFULLY AVOID ANY APPEARANCE OF PREOCCUPATION AND ACCENTRICITY WHICH MIGHT LEAD THOSE I LIVE AMONGST TO SUSPECT THE NATURE OF MY PURSUITS
3575-170457-0034  IN THIS MONOTONOUS LIFE OF MIND THAT WAS A PLEASANT EVENT
3729-6852-0010  I NEVER HAD ANY FAMILY
3729-6852-0022  I ADDRESS HIM IN ITALIAN AND HE ANSWERS VERY WITTILY BUT HIS WAY OF SPEAKING MAKES ME SMILE AND I TELL HIM WHY
3729-6852-0023  MARK PLEASES HIM BUT I SOON PROVE TO HIM THAT IT IS NOT THE RIGHT WAY TO SPEAK HOWEVER PERFECT MAY HAVE BEEN THE LANGUAGE OF THAT ANCIENT WRITER
3729-6852-0040  DAY SIR I THINK THAT WHAT YOU HAVE DONE GIVES GREAT HOPES OF YOU AND WITHOUT ANY DOUBT YOU WILL MAKE RAPID PROGRESS
4077-13751-0001  ITS ORIGIN WAS SMALL A GERM AND INSIGNIFICANT SEED HARDLY TO BE THOUGHT OF AS LIKELY TO AROUSE OPPOSITION
4077-13754-0010  IN EIGHTEEN SIXTY TWO A LAW WAS ENACTED WITH A PURPOSE OF SUPPRESSING POOR MARRIAGE AND AS HAD BEEN PREDICTED IN THE NATIONAL SENATE PRAYER TO ITS PASSAGE IT LAY FOR MANY YEARS A DEAD LETTER
4446-2273-0002  LAMB WOULDN'T CARE A GREAT DEAL OUT MANY OF THEM I FANCY
4446-2273-0016  HER HAIR IS STILL LIKE FLAX AND HER BLUE EYES ARE JUST LIKE A BABY'S AND SHE HAS THE SAME THREE FRECKLES ON HER LITTLE NOSE AND TALKS ABOUT GOING BACK TO HER BANDOME AIR
4446-2273-0021  WHAT SHE WANTED FROM US WAS NEITHER OUR FLOWERS NOR OUR FRANKS BUT JUST OUR YOUTH
4446-2273-0022  BUT BOTH REMEMBERING WHAT THE WOMAN HAD SAID WHEN SHE TOOK THE MONEY GOD GIVE YOU A HAPPY LOVE
4446-2275-0007  SHE PUSHED HIM FORWARD THE BIG CHAIR BY THE FIRE AND SAT DOWN ON A STOOL AT THE OPPOSITE SIDE OF THE HEARTH HER KNEES DRAWN UP TO HER CHIN LAUGHING LIKE A HAPPY LITTLE GIRL
4446-2275-0031  I UNDERSTAND PARTLY I WAS WRONG
4507-16021-0042  IT IS BLACK AND MISFORTUNE IT IS BLACKER STILL IN CRIME THESE TWO BLACKNESSES AMALGAMATED COMPOSLANG
4507-16021-0047  YESTERDAY YOU WERE TREMBLING FOR A HEALTH THAT IS DEAR TO YOU TO DAY YOU FEAR FOR YOUR OWN TO MORROW IT WILL BE ANXIETY ABOUT MONEY THE DAY AFTER TO MORROW THE DIETRIBE OF A SLANDERER THE DAY AFTER THAT THE MISFORTUNE OF SOME FRIEND THEN THE PREVAILING WEATHER THEN SOMETHING THAT HAS BEEN BROKEN OR LOST THEN A PLEASURE WITH WHICH YOUR CONSCIENCE AND YOUR VERTERBRAL COLUMN REPROACH YOU AGAIN THE COURSE OF PUBLIC AFFAIRS
4970-29095-0028  HE DOESN'T SAY IT'S ON THE FRONTIER AND ON THE MAP EVERYTHING BEYOND IT IS MARKED INDIANS AND DESERT AND LOOKS AS DESOLATE AS A WEDSAY MEETING IT WAS TIME FOR HIM TO DO SOMETHING
4992-41797-0003  MISTER POPHAM LAID DOWN HIS BREACH
4992-41797-0014  WHEN SHE COULD NOT MAKE A RABBIT OR A BIRD LOOK REAL ON PAPER SHE SEARCHED IN HER FATHER'S BOOKS FOR PICTURES OF ITS BONES
4992-41806-0004  BURN FIRE BURN FLICKER FLICKER FLAME
5105-28233-0006  NO CATHEDRAL NOT EVEN BURGOS ITSELF COULD VIE WITH THE CHURCH AT MOUNT MARCHER
5105-28241-0000  HER SEA GOING QUALITIES WERE EXCELLENT AND WOULD HAVE AMPLY SUFFICED FOR A CIRCUMVAGATION OF THE GLOBE
5105-28241-0005  FOR A FEW MILES SHE FOLLOWED A LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH
5105-28241-0009  AND WHAT DEMONSTRATION DO YOU OFFER ASKED SERVADAC EAGERLY THAT IT WILL NOT HAPPEN
5105-28241-0010  OCEAN RAINED SUPREME
5142-36586-0000  IT IS MANIFEST THAT MAN IS NOW SUBJECT TO MUCH VARIABILITY
5639-40744-0012  SHE SUCCEEDED IN OPENING THE WINDOW AND THE MOONLIGHT SHONE IN SO BRIGHTLY AS SHE COULD DISTINGUISH THE COLOUR OF SOME DAMASK HANGING IN THE ROOM
5639-40744-0020  A STUDIUM INVITE MINDED FATHER COMFORT HIS UNHAPPY DAUGHTER AND HER MOTHER EMBRACING HER AGAIN DID ALL SHE COULD TO SOOTHE THE FEELINGS
5639-40744-0033  BEARING WAS GRACEFUL AND ANIMATED SHE LED HER SON BY THE HAND AND BEFORE HER WALKED TWO MAIDS WITH WAX LIGHTS AND SILVER CANDLESTICKS
5683-32865-0005  BUT AGREEING TO CAPTAIN LAKE WAS MORE THAN USUALLY HAUGHTY AND FROZEN AND HER FEATURES I FANCIED PARTICULARLY PROUD AND PALE
5683-32865-0013  DO YOU KNOW LAKE OH I REALLY CAN'T TELL BUT HE'LL SOON TIRE OF COUNTRY LIFE
5683-32879-0000  IT WAS NOT VERY MUCH PAST ELEVEN THAT MORNING WHEN THE PONY CARRIAGE FROM BRANDON DREW UP BEFORE THE LITTLE GARDEN WICKET OF REDAMING'S FARM
5683-32879-0009  ILL AND TROUBLED DEAR TROUBLED IN MIND AND MISERABLY NERVOUS
5683-32879-0016  AND THE WANT ORACLE HAVING SPOKEN SHE SAT DOWN IN THE SAME SORT OF ABSTRACTION AGAIN BESIDE DORCAS AND SHE LOOKED FULL IN HER COUSIN'S EYES
5683-32879-0019  I HAVE VERY FEW TO LOVE ME NOW AND I THOUGHT YOU MIGHT LOVE ME AS I HAVE BEGUN TO LOVE YOU
5683-32879-0021 RCAS IN HER STRANGE WAY WAS MOVED
6829-68769-0001  IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN THE STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT
6829-68769-0006  IF THE PROSECUTION WERE WITHDRAWN AND THE CASE SETTLED WITH THE VICTIM OF THE FORT CHECK THEN THE YOUNG MAN WOULD BE ALLOWED HIS FREEDOM
6829-68771-0013  INTENDANCE WAS UNEXPECTEDLY LARGE AND THE GIRLS WERE DELIGHTED FOR SEEING GREAT SUCCESS FOR THEIR FIGHT
6829-68771-0019  SHE WAS DRESSED IN THE REGULATION COSTUME OF THE MATE THAT ELMHURST A PLAIN BLACK GALE WITH A WHITE APRON AND CAP
6930-75918-0016  YES I NEED OPPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH IN MIND AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN
6930-76324-0000  GOLIATH MAKES ANOTHER DISSEVERY
6930-76324-0001  THERE WERE CERTAINLY NO NEAR THE SOLUTION OF THEIR PROBLEM
6930-76324-0023  AND MY POCKET WHEN HE GETS GETTING LOW AGAIN AND YOU HAVE ANY LEFT AS USUAL
6930-81414-0026  MY OVERWROUGHT NERVES YIELDED AT LAST
7021-79740-0000  TO SUCH PERSONS THESE INTERRECT MODES OF TRAINING CHILDREN IN HABITS OF SUBORDINATION TO THEIR WILL OR RATHER OF YIELDING TO THEIR INFLUENCE ARE SPECIALLY USEFUL
7021-79740-0001  A YOUNG SISTER NAMED MARIA AND A COUSIN WHOSE NAME WAS JANE
7021-79759-0002  THEIR CHIEFLY FORMED FROM COMBINATIONS OF THE IMPRESSIONS MADE IN CHILDHOOD
7021-85628-0009  AT THE FARTHER END OF THE LARGEST HALL A TABLE WAS SET WITH GOLDEN CUPS AND GOLDEN PLATES IN LONG ROBES
7021-85628-0018  AND IT IS MADE OF MOTHER'S BEST YARN AND SHE KNITTED HERSELF AND EVERYBODY WANTS TO GET IT AWAY FROM ME
7021-85628-0026  NO MY LITTLE FUN SHE SAID
7127-75946-0012  THE NEW CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION
7127-75947-0004  EXPLAIN YOURSELF
7127-75947-0015  THERE CANNOT BE A DOUBT HE RECEIVED YOU KINDLY FOR IN FACT YOU RETURN WITHOUT HIS PERMISSION
7176-88083-0000  ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED AND BROAD SPLASHES
7176-88083-0009  THE GREAT HAWK FOWLED HURRIEDLY TO RETRIEVE HIS PREY FROM THE GROUND
7176-92135-0006  I'VE GOT A LITTLE IDEA FOR A PLAY ABOUT A MAN AND A WOMAN ANOTHER WOMAN AND BUT PERHAPS I BETTER KEEP THE POT A SECRET FOR THE MOMENT
7176-92135-0012  INDEED HE WAS LUCIAN MEAN THE KEYNOTE OF HAMLETOLOUI A CLUBBER PLAYER COULD TO SOME EXTENT INDICATE THE WHOLE THIRTY LINES BY ACILET WORKING OF THE JAW BUT AT THE SAME TIME IT WOULD BE IDLE TO DENY THAT HE WOULD MISS THE FINER SHADES OF THE DRAMATIST'S MEANING
7176-92135-0015  AND SO ON TILL YOU GET THE END ONE OF VILLIOT MIGHT SAY AH YES OR SOMETHING NON COMMITTAL OF THAT SORT
7176-92135-0023  YOU GAVE ME DEAL FIVE I WANT DOUBLE NINE HELLO IS THAT YOU HORATIO HAMLET SPEAKING
7176-92135-0038  A STATE MEAL AT POPULAR BECAUSE IT PROVED TO THE AUDIENCE THAT THE ACCURS EVEN WHEN CALLED CHARLES HALTERING OR OWENAIRES ARE REAL PEOPLE JUST LIKE YOU AND ME
7729-102255-0004  PRIEST APE MEN HAD ONLY THEIR CONVICTIONS THEIR INTELLIGENCE OR COURAGE AND THE MORAL SUPPORT OF THE NORTH THE CONSPIRACY HAD ITS SECRET COMBINATION THE TERRITORIAL OFFICIALS THE LEGISLATURE THE BOGUS LAWS THE COURTS THE MILITIA OFFICERS THE PRESIDENT AND THE ARMY
7729-102255-0044  HERE HE WAS PLACED IN THE CUSTODY OF CAPTAIN MARTIN OF THE KAPOO RANGERS WHO PROVED A KIND JAILER IMMATERIALLY ASSISTED AND PROTECTING HIM FROM THE DANGEROUS INTENTIONS OF THE MOB WHICH AT THAT TIME HELD LEVIN WORTH UNDER THE REIGN OF TERROR
8455-210777-0001  HAD EVER CROSWELLER NOT BEEN GOOD LOOKING HAD JACK BEEN STILL A COLLEGE HAD SIR CARRINGTON OVAL REMAINED IN ENGLAND AND MISTER BONNET AND THE BAR KEEPER NOT SUCCEEDED IN STOPPING MY CARRIAGE ON THE HILL SHOULD I HAVE SUCCEEDED IN ARRANGING FOR THE FINAL DEPARTURE OF MY OLD FRIEND
8455-210777-0016  THIS I FELT WAS PAID TO ME AS BEING PRESIDENT OF THE REPUBLIC AND I ENDEAVOURED TO BEHAVE MYSELF WITH SUCH MINGLED HUMILITY AND DIGNITY AS MIGHT BEFIT THE OCCASION BUT I CANNOT BUT FEEL THAT SOMETHING WAS WANTING TO THE SIMPLICITY OF MY ORDINARY LIFE
8455-210777-0044  I WAS TO BE TAKEN AWAY AND CARRIED TO ENGLAND OR ELSEWHERE OR DROWNED UPON THE VOYAGE A MATTER NOT WHICH
8455-210777-0047  YOU PROPOSE TO KIDNAP ME I SAID
8455-210777-0048  WILL BECOME OF YOUR GUN WERE I TO CONNOP YOU
8455-210777-0059  BUT IT IS HER MIND THAT YOU WILL FIND DIFFICULTIES IN THE WAY OF YOUR ENTERING AT ONCE UPON YOUR GOVERNOR
8463-294825-0008  I FETCHED OF BURNING POWER COMES FROM CAPTAIN NEMO
8463-294825-0012  THE NAUTILUS NANNY PASSES AND THE ANTARCTIC AND NEMO SANKS INTO ECHOING DEPRESSIONS
8463-294828-0000  CHAPTER THREE AS MASTER WISHES
