121-121726-0005  FANCY
4446-2273-0022  BUT BOTH REMEMBERING WHAT THE WOMAN HAD SAID WHEN SHE TOOK THE MONEY GOD GIVE YOU A HAPPY LOVE
4446-2275-0007  SHE PUSHED HIM TOWARD THE BIG CHAIR BY THE FIRE AND SAT DOWN ON A STOOL AT THE OPPOSITE SIDE OF THE HEARTH HER KNEES DRAWN UP TO HER CHIN LAUGHING LIKE A HAPPY LITTLE GIRL
4446-2275-0031  I UNDERSTAND BARTLEY I WAS WRONG
4507-16021-0042  IT IS BLACK AND MISFORTUNE IT IS AS BLACK OR STILL AND CRIME THESE TWO BLACKNESSES A MALAGAMATED COMPOSLANG
4507-16021-0047  YESTERDAY WE'RE TREMBLING FOR A HEALTH THAT IS DEAR TO YOU TO DAY YOU FEAR FOR YOUR OWN TO MORROW IT WILL BE ANXIETY ABOUT MONEY THE DAY AFTER TO MORROW THE DIET TRIBE OF A SLANDERER THE DAY AFTER THAT THE MISFORTUNE OF SOME FRIEND THEN THE PREVAILING WEATHER THEN SOMETHING THAT HAS BEEN BROKEN OR LOST THIN A PLEASURE WITH WHICH YOUR CONSCIENCE AND YOUR VERTERBRAL COLUMN REPROACH YOU AGAIN THE COURSE OF PUBLIC AFFAIRS
4970-29095-0028  HE DOESN'T SAY BUT IT'S ON THE FRONTIER AND ON THE MAP EVERYTHING BEYOND IT IS MARKED INDIANS AND DESERT AND LOOKS AS DESOLATE AS A WEDSAY MEETING IT WAS TIME FOR HIM TO DO SOMETHING
4992-41797-0003  MISTER POPHAM LAID DOWN HIS BRUSH
4992-41797-0014  WHEN SHE COULD NOT MAKE A RABBIT OR A BIRD LOOK REAL ON PAPER SHE SEARCHED IN HER FATHER'S BOOKS FOR PICTURES OF ITS BONES
4992-41806-0004  BURN FIRE BURN FLICKER FLICKER FLAME
5105-28233-0006  NO CATHEDRAL NOT EVEN BURGOS ITSELF COULD VIE WITH THE CHURCH AT MONT MARTRA
5105-28241-0000 CY GOING QUALITIES WERE EXCELLENT AND WOULD HAVE AMPLY SUFFICED FOR A CIRCUMNAVIGATION OF THE GLOBE
5105-28241-0005  FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH
5105-28241-0009  AND WHAT DEMONSTRATION DO YOU OFFER ASKED SERVADAC EAGERLY THAT IT WILL NOT HAPPEN
5105-28241-0010  OCEAN RAINED SUPREME
5142-36586-0000  IT IS MANIFEST THAT MAN IS NOW SUBJECT TO MUCH VARIABILITY
5639-40744-0012  SHE SUCCEEDED IN OPENING THE WINDOW AND THE MOONLIGHT SHONE IN SO BRIGHTLY AS SHE COULD DISTINGUISH THE COLOR OF SOME DAMASK HANGING IN THE ROOM
5639-40744-0020  A STICKLY HUMANE AND RIGHT MINDED FATHER COMFORT HIS UNHAPPY DAUGHTER AND HER MOTHER EMBRACING HER AGAIN DID ALL SHE COULD TO SOOTHE THE FEELINGS
5639-40744-0033  BEARING WAS GRACEFUL AND ANIMATED SHE LED HER SON BY THE HAND AND BEFORE HER WALKED TWO MAIDS WITH WAX LIGHTS AND SILVER CANDLESTICKS
5683-32865-0005  BUT HOW GREETING TO CAPTAIN LAKE WAS MORE THAN USUALLY HAUGHTY AND FROZEN AND HER FEATURES I FANCIED PARTICULARLY PROUD AND PALE
5683-32865-0013  DO YOU KNOW LAKE OH I REALLY CAN'T TELL BUT HE'LL SOON TIRE OF COUNTRY LIFE
5683-32879-0000  IT WAS NOT VERY MUCH PAST ELEVEN THAT MORNING WHEN THE PONY CARRIAGE FROM BRANDON DREW UP BEFORE THE LITTLE GARDEN WICKET OF REDMAN'S FARM
5683-32879-0009  ILL AND TROUBLE DEAR TROUBLED IN MIND AND MISERABLY NERVOUS
5683-32879-0016  AND THE WAN ORACLE HAVING SPOKEN SHE SAT DOWN IN THE SAME SORT OF ABSTRACTION AGAIN BESIDE DORCAS AND SHE LOOKED FULL IN HER COUSIN'S EYES
5683-32879-0019  I HAVE VERY FEW TO LOVE ME NOW AND I THOUGHT YOU MIGHT LOVE ME AS I HAVE BEGUN TO LOVE YOU
5683-32879-0021 RCAS IN HER STRANGE WAY WAS MOVED
6829-68769-0001  IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN THE STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT
6829-68769-0006  IF THE PROSECUTION WERE WITHDRAWN AND THE CASE SETTLED WITH THE VICTIM OF THE FORT CHECK THEN THE YOUNG MAN WOULD BE ALLOWED HIS FREEDOM
6829-68771-0013  ATTENDANCE WAS UNEXPECTEDLY LARGE AND THE GIRLS WERE DELIGHTED FOR SEEING GREAT SUCCESS FOR THEIR FIGHT
6829-68771-0019  SHE WAS DRESSED IN THE REGULATION COSTUME OF THE MAIDS AT ELMHURST A PLAIN BLACK GALE WITH A WHITE APRON AND CAP
6930-75918-0016  YES I NEED REPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH IN MIND AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN
6930-76324-0000  GOLIATH MAKES ANOTHER DISCOVERY
6930-76324-0001  IT WAS CERTAINLY NO NEAR THE SOLUTION OF THEIR PROBLEM
6930-76324-0023  MY POCKET MONEY IS GETTING LOW AGAIN AND YOU HAVEN'T ANY LEFT AS USUAL
6930-81414-0026  MY OVERWROUGHT NERVES YIELDED AT LAST
7021-79740-0000  TO SUCH A PERSON THESE INDIRECT MODES OF TRAINING CHILDREN IN HABITS OF SUBORDINATION TO THEIR WILL OR RATHER OF YIELDING TO THEIR INFLUENCE ARE SPECIALLY USEFUL
7021-79740-0001  BLA HAD A YOUNG SISTER NAMED MARIA AND A COUSIN WHOSE NAME WAS JANE
7021-79759-0002  THEIR CHIEFLY FORMED FROM COMBINATIONS OF THE IMPRESSIONS MADE IN CHILDHOOD
7021-85628-0009  AT THE FARTHER END OF THE LARGEST HALL A TABLE WAS SET WITH GOLDEN CUPS AND GOLDEN PLATES IN LONG ROWS
7021-85628-0018  IT IS MADE OF MOTHER'S BEST YARN AND SHE KNITTED IT HERSELF AND EVERYBODY WANTS TO GET IT AWAY FROM ME
7021-85628-0026  NO MY LITTLE FUND SHE SAID
7127-75946-0012  THE NEWS CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION
7127-75947-0004  EXPLAIN YOURSELF
7127-75947-0015  I CANNOT BE A DOUBT HE RECEIVED YOU KINDLY FOR IN FACT YOU RETURNED WITHOUT HIS PERMISSION
7176-88083-0000  ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES
7176-88083-0009  THE GREAT HAWK FOLLOWED HURRIEDLY TO RETRIEVE HIS PREY FROM THE GROUND
7176-92135-0006  I'VE GOT A LITTLE IDEA FOR A PLAY ABOUT A MAN AND A WOMAN AND ANOTHER WOMAN AND BUT PERHAPS BETTER KEEP THE PLOT A SECRET FOR THE MOMENT
7176-92135-0012  INDEED IT RESOLUTION MADE THE KEYNOTE OF HELEN'S TOLOQUY A CLEVER PLAYER COULD TO SOME EXTENT INDICATE BEHOLD THIRTY LINES BY A SILAGE WORKING OF THE JOB BUT AT THE SAME TIME IT WOULD BE IDLE TO DENY THAT HE WOULD MISS THE FINER SHADES OF THE DRAMATIST'S MEANING
7176-92135-0015  AND SO ON TILL YOU GET TO THE END WHEN OBELIA MIGHT SAY AH YES OR SOMETHING NON COMMITTAL OF THAT SORT
7176-92135-0023  YOU GAVE ME DOUBLE FIVE I WANT DOUBLE NINE HELLO IS THAT YOU HORATIO HAMLET SPEAKING
7176-92135-0038  A SAGE MEAL IS POPULAR BECAUSE IT PROVED TO THE AUDIENCE THAT THE ACCURATE EVEN WHEN CALLED CHARLES HALTREE OR OWENAIRES ARE REAL PEOPLE JUST LIKE YOU AND ME
7729-102255-0004  PRIEST STATE MEN HAD ONLY THEIR CONVICTIONS THEIR INTELLIGENCE OR COURAGE AND THE MORAL SUPPORT OF THE NORTH THE CONSPIRACY HAD ITS SECRET COMBINATION THE TERRITORIAL OFFICIALS THE LEGISLATURE THE BOGUS LAWS THE COURTS THE MILITIA OFFICERS THE PRESIDENT AND THE ARMY
7729-102255-0044  HARRY WAS PLACED IN THE CUSTODY OF CAPTAIN MARTIN OF THE KAPOO RANGERS WHO PROVED A KIND JAILER IMMATERIALLY ASSISTED IN PROTECTING HIM FROM THE DANGEROUS INTENTIONS OF THE MOB WHICH AT THAT TIME HELD LEVIN WORTH UNDER THE REIGN OF TERROR
8455-210777-0001  AT EVEN CROSSWELLER NOT BEEN GOOD LOOKING HAD JACK BEEN STILL A COLLEGE HAD SIR KENNINGTON OVAL REMAINED IN ENGLAND AND MISTER BONNET AND THE BAR KEEPER NOT SUCCEEDED IN STOPPING MY CARRIAGE ON THE HILL SHOULD I HAVE SUCCEEDED IN ARRANGING FOR THE FINAL DEPARTURE OF MY OLD FRIEND
8455-210777-0016  THIS I FELT WAS PAID TO ME OF BEING PRESIDENT OF THE REPUBLIC AND I ENDEAVOURED TO BEHAVE MYSELF WITH SUCH MINGLED HUMILITY AND DIGNITY AS MIGHT BE FIT THE OCCASION BUT I COULD NOT BUT FEEL THAT SOMETHING WAS WANTING TO THE SIMPLICITY OF MY ORDINARY LIFE
