3005-163389-0001  SONG OUT TEAR DOWN THE FENCE TEAR DOWN THE FENCE
3331-159605-0007  IT HAS KNOWN HOW ODD HER LIVES AND HAS A GOOD INFLUENCE OVER HER
4198-12281-0015  IN THE MEANTIME FRIAR JOHN WITH HIS FORMIDABLE BUTTON OF THE CROSS GOT TO THE BREACH WHICH THE ENEMIES HAD MADE AND THERE STOOD TO SNATCH UP THOSE THAT ENDEAVOURED TO ESCAPE
8280-266249-0051  EACH WASHING'S MOVEMENTS EACH AND AGAIN A GLOATING EYE UPON THE HEAP OF GOLD AND GREEN BACK AND AT TIMES STRETCHING OUT HIS HANDS TO FETCH IT
3080-5032-0005  ALICE WE HAVE HAD SUCH A SKIRMISH AND CONSULT FOOLISH AN OCCASION AS I CANNOT TELL WHICH A STRANGER
4198-12281-0002  NEVERTHELESS AT ALL VENTURES THE RING THE BELLS AND CAPITUAL CAPITULATIES
7105-2340-0023  I'LL FRED WEST LAD IN COMING DOWN TO BREAKFAST AND HIS MANNERS SHOWED PLAINLY THAT SOMETHING WAS AMISS
5484-24318-0001  TO OFFER ASSISTANCE WOULD HAVE BEEN MADNESS FOR EVEN HARMON PERCEIVED BY THE LOUD CLANKING OF WEAPONS ROUND THEM THEY GREATLY SUPERIOR POWER OF THE ENEMY AND THEY WERE ACTING BY THE ORDERS OF THE KING TO THE PRESENT IN THE PLACE OF EXECUTION
8280-266249-0050  INTENSE VOICE EXCITEMENT POSSESS THE PLAYERS FOR THE GAME WAS A CLOSE ONE AND THE STATES WERE VERY HEAVY
7105-2330-0040  SEAT WAS LAST AFTER ALL BY A NARROW NIGHT CHARITY
3080-5032-0018  O IN EARNEST IF I WERE A PRINCE THAT LADY SHOULD BE MY MISTRESS BUT I CAN GIVE NO RULE TO ANY ONE ELSE AND PERHAPS THOSE THAT ARE IN NO DANGER OF LOSING A HEART TO HER MAY BE INFINITELY TAKEN WITH ONE I SHOULD NOT VALUE AT ALL OH SO SAYS JUSTINIAN WISE PROVIDENCE HAS ORDAINED IT THAT BY THE DIFFERENT HUMORS EVERYBODY MIGHT FIND SOMETHING TO PLEASE THEMSELVES WITH HIM WITHOUT ENVYING THEIR NEIGHBORS
3997-180294-0020  OH WHY
3331-159605-0010  IT WAS THAT INDESCRIBABLE SOMETHING WHICH WOMEN ARE QUICK TO SEE AND FEEL IN MEN WHO HAVE BEEN BLESSED WISE AND GOOD MOTHERS
8188-269288-0045 TE SHE SAID
7902-96592-0037  I RECOSED NOT FIT YOU WHEN YOUR CAPS PUT ON ALL SCHEROO
6432-63723-0011  I REMEMBER THAT CENTIA GRAFTON HAD ONCE BEEN IN LOVE WITH EACH OTHER
3997-180294-0022  THERE ARE MY ORDERS TO NIGHT AT A BOTHERVILLE
7902-96594-0000  BERNITSPEARE'S LOSS LABORS TO GURGH
3538-163622-0010  ON THE THIRD DAY SAID THE LAD WANTED TO SET OUT
4852-28319-0023  MISTER HOOKER BEGAN MOVING ABOUT UPSTAIRS THE FOREBOARDS GREEK AND STILL CHRIS COULD NOT LEAVE UNTIL THE PORTION FUMED AND GLOWED
3538-163619-0008  WHAT IS MY BROTHER SAYING ASKED HIS SISTER AGAIN
3005-163391-0025  THEY GIVE A GLANCE AT ONE ANOTHER AND NODDED THEIR HEADS AS MUCH AS TO SAY WOULD I TELL YOU
1998-29455-0010  THIS LIFE OF THE RABBIT AS DESCRIBED BY MISTER BEALE WAS THE TRANSFEROUS GLIMPSE OF FREEDOM LIKE TO BE A RABBIT
2414-128292-0011  WHY CALLEST THOU THY SERVE MY SHADOW
3528-168669-0038  AT THAT MOMENT NINE O'CLOCK STRUCK
4198-61336-0013  THOUGH ASH THE GRANDSON OF JEHO HAD ACHIEVED SUCCESSES IN CONFLICT WITH DAMASCUS
4852-28330-0015  A SHIP ITS CARGO IN ITS MAIN WILL BE IN YOUR HANDS
4198-61336-0002  O MY SORDURUS EXCLAIM IN THE WORDS OF THE PROPHET WHERE IS THE KING OF ARPE
2609-169640-0002  FORTUNATELY THE JOHN WAS NOT ONLY FAT BUT ZIMINED HER HAIL AS A LIGHT FOOTED GIRL TURNS IN A LOVELY DANCE
2609-156975-0038  THEY CONSTANT NECESSITY A MEETING THE DANGERS OF THE WILDERNESS AND THE DEFENDING OF FLAMES AND TRIST INTO MOSES CARE DEVOUT HIS COURAGE AND POWER OF LEGISM AND ACTION
3331-159605-0001  THE MORE PROPOSALS THE MORE CREDIT
3331-159605-0027  ASKED THE ARTFUL YOUNG MAN LAYING A TRIP INTO WHICH POLLY IMMEDIATELY FELL
6128-63240-0022  THAT WAS ONE COMFORT WITH ALL THE INFORM THAT A ONE THROUGH ANY FORMS
7975-280063-0001  YOU MUST HAVE MADE COUGHING THE ROOSE BELOW ROSE HILL ON THE GRAHAM RIVER
6432-63722-0015  GAD EXPLAINED THE COLONEL
1688-142285-0063  I DON'T BELIEVE ALL I HEAR NO NOT BY A BIG DEAL
6070-63485-0014  WELL MY WIFE SHALL BE THERE SAID THE SCHOOLMASTER YOU WILL TELL HER WHAT YOU WANT AND I SHALL SEE
8188-269290-0043  YOU ASK SHE CONTINUED
2033-164914-0017  AN HUGH KISSED THE OWNER'S HEAD AND SPAKE HIM FAIR TILL HE WENT AWAY BY THE CASTRA FETCHED THE ROUND AND RETURNED HIS SECRETLY CAME AND STOOD BEHIND THE FIREWORM FEARING TO GO BACK TO HIS MISTRESS WITHOUT TIDINGS
1998-29455-0013  ARE RIGHT SAID MISTER MILLWARDLY
8188-274364-0001  A GOVERNMENT OF IRELAND HAS ADMINISTRATION HAD BE EQUALLY PROPORTIVE OF HIS MASTER'S INTRUST AND THAT OF THE SUBJECTS COMMITTED TO HIS CARE
7105-2340-0032  A FEW IN CAUSE HAD TURNED PAINTERY THAN EVER MISSUS PETER HAD A FINAL INSPIRATION
1998-29454-0002  THIS BOOKS TOLD HIM THE TREASURES BEST HIDDEN UNDER HIS BOARDS AND AS OF COURSE THE HOUSE HAD A SECRET PENNA WHICH HAS HAD NOT
3080-5032-0001  A NEW YOU COULD NOT CHOOSE BUT LIKE HER BUT YET LET ME TELL YOU YOU HAVE SEEN WHAT THE WORST OF HER
6432-63723-0037  WAS I MARCH
1688-142285-0057  MARGARET BENT OVER AND SAID BESSY DON'T BE IMPATIENT WITH YOUR LIFE WHATEVER IT IS OR MAY HAVE BEEN
3528-168669-0033  MORE OFTEN
8461-281231-0005  EXCLAIMED THE NORMAN OH
1688-142285-0091  MY DEAR SAID MISTER HALE ALARMED I DON'T GO OFF ON THAT IDEA
7018-75789-0021  BUT THEN ARE MY BROTHERS IS THE HISTORY OF WHAT BEFELL ME IN MY SIXTH VOYAGE AND TO MORROW INSHALLAH
8280-266249-0021  AND THEN SUCH POWERFUL ASSETS PRODUCE INTENSE IRRITATION THIRST THERE IS SUCH WATER DOES NOT CLEANED
7902-96595-0018  PURSUADED HIS BUSINESS WHILE THE BARONET WHO HAD TURNED CELAH WOULD CARE ONE OF HIS LODGE DREW BREATH THE FULL RELIEF MURDERSHIP BOYS HE SAID
8280-266249-0031  AS IT THE WHOLE PARTY WERE AT ONCE IN THAT DIRECTION
6432-63722-0056  ALL THAT AGE OF TWO HEADS YOU KNOW
8280-266249-0049  AND MISTER LILLO WAKING FROM HIS FIRST SLEEP AND HIS STATEROOM NEAR BY THAT HUMAN
533-131562-0008  I DIDN'T SAY IT BROKEN IT DID I RETURNED HE
3997-182399-0010  SAID WHERE HE HAD NO BUSINESS
8188-269288-0002  TASTES ALL LAY IN THE STRICTION HER IDEA BEING BY AND BY TO FOLLOW HER MOTHER'S PROFICIENT OF GENERALISM FOR WHICH SHE ALREADY SHOWED CONSIDERABLE APTITUDE
3764-168671-0024  YOU I
